      109          1          0          0          0      15000         25  
        0          1          0          0          0      30000         45  
        0          1          0          0          0      12000         20  
      108          1          0          0          0      20000         28  
      220          1          1          0          0      15000         25  
      189          1          1          0          0      30000         35  
       64          1          1          0          0      12000         40  
      262          1          1          0          0      12000         22  
       64          1          1          0          0      28000         30  
       35          1          1          0          0      22000         21  
       94          1          1          0          0      44000         40  
       71          1          0          1          0      10000         21  
      403          1          0          1          0     222000         45  
       41          1          0          1          0      32000         36  
       10          1          0          1          0      45000         36  
      110          1          0          1          0      55000         40  
      239          1          0          1          0      29000         23  
       63          1          0          1          0      39000         32  
        0          1          0          1          0      70000         52  
      106          1          0          0          1      55000         30  
        0          1          0          0          1      90000         45  
      141          0          0          0          0       6000         32  
      299          0          0          0          0      18000         20  
      148          0          0          0          0      55000         55  
      424          0          1          0          0      10000         18  
      242          0          1          0          0      23000         30  
      119          0          1          0          0      35000         45  
      338          0          1          0          0      38000         40  
      135          0          1          0          0      45000         50  
      590          0          1          0          0      85000         32  
      324          0          1          0          0      22000         30  
       87          0          1          0          0      25000         51  
      395          0          0          1          0      29000         22  
      513          0          0          1          0     132000         40  
       56          0          0          1          0      35000         30  
      400          0          0          1          0      80000         36  
      384          0          0          1          0      55000         27  
      262          0          0          1          0      30000         24  
      336          0          0          1          0      27000         21  
      281          0          0          0          1      80000         45  
