     1950       14.3       7863       69.5       31.2       59.8          .       24.1    2628500    151.684          .         41  
     1951       15.1       7953       72.9       36.5       72.1          .         26    2843000    154.287          .         42  
     1952       15.3       8071       73.1       36.2       71.3          .       26.5    2851200    156.954          .         43  
     1953       15.2       8319       71.3       28.5       62.7          .       26.7    2953900    159.565          .         44  
     1954       15.8       8276       64.4       27.4       63.4          .       26.9    3099700    162.391          .         45  
     1955       14.7       8675         67       27.1       56.1          .       26.8    2958100    165.275          .         46  
     1956       16.8       8930       58.8       26.7       57.7          .       27.2    3492200    168.221          .         47  
     1957       17.6       8988       57.3       28.7       51.6          .       28.1    3647100    171.274          .         48  
     1958       19.3       8922       56.6       33.4       50.1          .       28.9    4144800    174.141          .         49  
     1959       19.8       9167       51.6       34.4       48.6          .       29.1    4331118    177.073          .         50  
     1960       19.2       9210       52.4       33.5         46   51.53361       29.6    4333602    180.671         50         51  
     1961       20.6       9361       47.4         33       45.1   51.86824       29.9    4944130    183.691         49         52  
     1962       20.6       9666         50       34.2       44.8   52.09133       30.2    4997189    186.538         46         53  
     1963       21.1       9886       49.3       33.8       49.8   50.97588       30.6    5269019    189.242         80         54  
     1964       21.3      10456       48.2       32.8       49.9   50.75279         31    5443769    191.889         78         55  
     1965       22.9      10965       49.8       34.4       51.8   50.97588       31.5    5871560    194.303         49         56  
     1966       24.5      11417       52.7       36.2       54.5   52.48173       32.4    6437127     196.56         44         57  
     1967       25.1      11776       48.8       36.4       51.7   51.86824       33.4    6552305    198.712         45         58  
     1968       25.2      12196       51.2       37.9       45.5    49.5258       34.8    6653319    200.706         59         59  
     1969       26.3      12451       54.1       41.7       49.3   50.36239       36.7    7174882    202.677         87         60  
     1970       27.4      12823       52.4       43.5       54.5     53.151       38.8    7686589    205.052         49         61  
     1971       27.4      13218       52.9       45.5       55.7   54.54531       40.5    7723561    207.661         57         62  
     1972       28.3      13692       53.4       49.7       52.1   54.82417       41.8    8146839    209.896         76         63  
     1973       27.1      14496       77.1       59.6         89   84.66235       44.4    7961659    211.909        119         64  
     1974         27      14268       72.3       61.3      128.2    94.0321       49.3    8034339    213.854         76         65  
     1975       26.4      14393       81.4       61.9      115.2   91.13194       53.8    8019673    215.973        120         66  
     1976       28.5      14873       76.9       59.9      107.6   93.86478       56.9    9012071    218.035        184         67  
     1977         29      15256       77.3       59.5         88   95.25909       60.6    9279454    220.239        180         68  
     1978       30.4      15845       85.6       73.1         92    94.4225       65.2    9902015    222.585        204         69  
     1979       32.8      16120       87.2       93.1      104.5   105.5212       72.6   1.09e+07    225.055        210         70  
     1980       32.7      16063       94.4       98.4      119.2   115.3371       82.4   1.13e+07    227.726        194         71  
     1981       33.7      16265       96.5       99.2      125.9   126.6589       90.9   1.19e+07    229.966        239         72  
     1982       33.9      16328       94.8      100.6        100   117.0103       96.5   1.20e+07    232.188        212         73  
     1983         34      16673       96.3       99.1      128.4   124.3165       99.6   1.23e+07    234.307        224         74  
     1984       35.3      17799        109      100.3      129.7    130.061      103.9   1.29e+07    236.348        226         75  
     1985       36.4      18229      104.5       98.2      105.9   109.7599      107.6   1.35e+07    238.466        209         76  
     1986       37.2      18641      115.4       98.8       83.5   104.4615      109.6   1.42e+07    240.651        278         77  
     1987       39.4      18870      113.3      106.3       67.7   103.1788      113.6   1.54e+07    242.804        326         78  
     1988       39.6      19522      125.1      112.1       97.1   148.3543      118.3   1.60e+07    245.021        401         79  
     1989       40.9      19833      137.1      119.3      102.4   143.0559        124   1.72e+07    247.342        583         80  
     1990       42.4      20058      134.9      128.8      100.9   130.9534      130.7   1.84e+07    249.973        564         81  
     1991       44.1      19873      131.7      132.4         97   126.6589      136.2   1.96e+07    253.336        667         82  
     1992       46.5      20220      131.9      132.3         96   125.3761      140.3   2.09e+07    256.677        786         83  
     1993       48.2      20235        138      137.1       92.9   131.3995      144.5   2.20e+07    260.037        780         84  
     1994       48.8      20507      140.1        136      100.1   136.4748      148.2   2.37e+07    263.226        980         85  
     1995       48.2      20798      142.2      134.9        109   138.4826      152.4   2.48e+07    266.364       1183         86  
     1996       48.8      21072      152.6      134.5      158.5   174.3442      156.9   2.61e+07    269.485       1291         87  
     1997       49.5      21470      158.5      136.8      110.1   157.7798      160.5   2.70e+07    272.756       1443         88  
     1998       49.8      22359      159.6      136.5       91.7   128.9456        163   2.76e+07    275.955       1543         89  
     1999       52.9      22678      161.8      139.2       78.2   102.8999      166.6   2.97e+07    279.144       1674         90  
     2000       53.2      23501      162.9      148.1       76.4          .      172.2   3.05e+07    282.489       1703         91  
     2001       53.9      23692        168      160.5       78.8          .      177.1          .    286.362       1737         92  
