1506500	50817	57021	125800	2158500	14480	1666
728400	47167	49005	65300	2800100	10570	1130
2091000	71046	37480	141200	7259700	14580	3080
1143800	42578	28815	100300	1644700	18660	1393
995100	36677	15032	70100	1853900	15130	1177
1153600	21598	45901	89500	3558000	8470	821
1102800	35685	35438	72500	7802200	10740	1150
1224000	46600	40928	87600	3174500	17250	1300
1462200	50387	33586	104800	6846600	35960	1430
1043600	51979	33270	32400	3570700	11280	1283
983200	41561	30996	54300	2329600	12940	923
1067200	52159	28609	33000	3200900	22230	1435
1518700	59388	36216	40400	2681800	6500	1597
619400	33184	16836	39600	1758800	11020	830
104700	7724	5330	10200	288100	1970	184
76500	5476	2731	10500	419600	1010	140
355800	7497	4665	13500	219200	4160	277
314600	20755	11618	19600	1485000	6230	501
427000	11290	7354	17700	494800	3030	684
153300	8238	3284	21600	661100	960	193
348400	11195	6432	26600	611400	8000	613
187000	10113	4719	16700	691900	3110	253
58600	3396	1351	8200	456800	1230	120
149600	8801	3788	15900	511300	1590	162
236700	12105	4066	17300	937100	3640	433
177300	9121	2390	11400	1154400	1210	203
524100	18184	9651	46800	3914100	4200	504
379800	12117	5251	24400	963700	2890	377
256800	7937	2979	16300	1061800	1070	169
261100	16336	19019	30200	736300	1750	240
609900	21910	9513	32500	1479700	5340	456
242500	10464	9037	14700	447400	1940	196
604500	29313	19579	60200	1115600	8590	495
391700	19038	11508	51800	1174600	5590	345
378600	22261	17170	54900	2400	3850	401
293500	18020	8146	42700	1028300	3060	338
856700	34559	25151	51900	2470900	8320	674
408600	17674	12953	26300	1887700	4030	483
438300	9600	5532	8600	577300	3640	278
223200	16894	8163	34500	525300	3690	337
186200	12345	8154	27400	341400	3650	223
402000	30213	27923	20500	1865200	9070	440
657800	33108	22186	61200	2023300	9150	667
514100	31820	25205	51200	2309900	9610	661
318400	11519	8950	23000	1100200	4970	307
920600	12543	8308	15100	850200	6700	520
494300	22917	35846	8700	779600	3210	440
407700	23596	22543	21800	1145800	3530	485
268600	19804	12935	26100	699200	3540	399
169400	14458	4573	17200	375700	3140	149
211500	10973	5322	15300	587300	1470	157
517300	18781	6276	9500	980400	1870	264
387800	19260	6923	26000	1063100	1740	295
588100	36734	13283	44500	3379800	6090	706
141800	8650	2547	8100	484400	730	119
154300	7894	3965	10500	373300	1230	162
464500	16314	6262	23300	726200	3840	335
219700	11516	4061	16900	777000	5200	292
386100	14457	4178	18500	836000	6010	231
150300	9877	4019	15000	1020500	4640	305
476900	19159	7341	28200	2283600	9630	578
198000	4760	1410	5400	1758200	1490	174
129000	7718	2712	8800	1041100	3850	219
