"Alabama"                     1     11.785       12.2       61.8          0          1          0          0  
"Alaska"                      0     22.432       12.7       43.7          0          0          0          1  
"Arizona"                     0     13.569       12.6       74.7          0          0          0          1  
"Arkansa"                     1     10.106       12.2       38.4          0          0          1          0  
"California"                  0     15.069       12.7       92.7          0          0          0          1  
"Colorado"                    0     14.992       12.8       80.6          0          0          0          1  
"Connecticut"                 0     16.244       12.6       88.2          1          0          0          0  
"Delaware"                    1     15.732       12.5       68.5          1          0          0          0  
"DC"                          1     15.002       12.6        100          1          0          0          0  
"Florida"                     1     12.205       12.4       85.9          0          1          0          0  
"Georgia"                     1     12.441       12.3       56.8          0          1          0          0  
"Hawaii"                      1      17.77       12.7       80.5          0          0          0          1  
"Idaho"                       0     12.844       12.6       16.9          0          0          0          1  
"Illinois"                    0     16.032       12.5       81.3          0          0          1          0  
"Indiana"                     0     14.411       12.4       67.8          0          0          1          0  
"Iowa"                        0     14.464       12.5       37.4          0          0          1          0  
"Kansas"                      0     13.412       12.6       46.2          0          0          1          0  
"Kentucky"                    1     11.019       12.1       45.1          0          0          1          0  
"Louisiana"                   1     12.576       12.3       63.2          0          1          0          0  
"Maine"                       0     11.839       12.5       23.3          1          0          0          0  
"Maryland"                    1     17.556       12.6       84.8          1          0          0          0  
"Massachusetts"               1     15.531       12.6       86.1          1          0          0          0  
"Michigan"                    0     15.385       12.5       81.3          0          0          1          0  
"Minnesota"                   1      14.74       12.5       63.9          0          0          1          0  
"Mississippi"                 1      9.999       12.1       26.6          0          1          0          0  
"Missouri"                    1     13.011       12.4       63.5          0          0          1          0  
"Montana"                     0     13.608       12.6       24.4          0          0          0          1  
"Nebraska"                    0     14.209       12.6       44.6          0          0          1          0  
"Nevada"                      0     14.961       12.6       81.3          0          0          0          1  
"NewHampshire"                0     14.258       12.6       36.6          1          0          0          0  
"NewJersey"                   0     16.432       12.4       92.1          1          0          0          0  
"NewMexico"                   0     11.798       12.5       33.6          0          0          0          1  
"NewYork"                     1     15.288       12.5       88.4          1          0          0          0  
"NorthCarolina"               1     11.834       12.2       45.2          0          1          0          0  
"NorthDakota"                 0     13.626       12.5       22.7          0          0          0          1  
"Ohio"                        1     14.822       12.4       79.8          0          0          1          0  
"Oklahoma"                    0     12.172       12.4       55.6          0          0          0          1  
"Oregon"                      0     13.854       12.7       59.9          0          0          0          1  
"Pennsylvania"                1     14.153       12.4       80.4          1          0          0          0  
"RhodeIsland"                 1      14.53       12.4       92.2          1          0          0          0  
"SouthCarolina"               1     12.188       12.2       48.3          0          1          0          0  
"SouthDakota"                 0     12.051       12.5       27.9          0          0          0          1  
"Tennesse"                    1     11.341       12.2         63          0          0          1          0  
"Texas"                       1     12.672       12.4       79.4          0          0          0          1  
"Utah"                        0     14.329       12.8       78.7          0          0          0          1  
"Vermont"                     0     12.415       12.5          0          1          0          0          0  
"Virginia"                    0     14.579       12.4       65.6          1          0          0          0  
"Washington"                  0     14.962       12.7       71.1          0          0          0          1  
"WestVirginia"                1     12.007       12.1       36.1          1          0          0          0  
"Wisconsin"                   1     15.064       12.5         63          0          0          1          0  
"Wyoming"                     0     14.784       12.6          0          0          0          0          1  
