873.8	944.5	3.43
899.8	989.4	1.86
919.7	1012.1	0.33
932.9	1028.8	1.06
979.4	1067.2	3.57
1005.1	1091.1	2.81
1025.2	1123.2	3.34
1069	1170.2	3.21
1108.4	1207.3	3.05
1170.6	1291	3.09
1236.4	1365.7	2.77
1298.9	1431.3	2.27
1337.7	1493.2	2.63
1405.9	1551.3	1.98
1456.7	1599.8	1.66
1492	1668.1	2.12
1538.8	1728.4	3.09
1621.9	1797.4	3.91
1689.6	1916.3	1.21
1674	1896.6	-2.4
1711.9	1931.7	0.31
1803	2001	2.66
1883.8	2066.6	1.57
1961	2167.4	1.07
2004.4	2212.6	-1.63
2000.4	2214.3	-1.58
2024.2	2248.6	3.8
2050.7	2261.5	7.66
2146	2331.9	8.82
2246.3	2470.6	8.45
2324.5	2528	7.8
2418.6	2603.7	7.1
