1988	9.215	1.643
1988	2.047	0.413
1988	9.989	1.752
1988	8.321	1.408
1988	4.588	0.838
1988	4.736	0.748
1988	3.596	0.577
1988	4.83	0.752
1988	4.508	0.761
1988	7.506	1.331
1988	4.052	0.548
1988	6.015	1.121
1988	7.775	1.316
1988	3.105	0.503
1988	2.215	0.514
1988	5.676	1.057
1988	5.554	0.942
1988	5.36	0.803
1988	10.394	1.902
1988	3.473	0.513
1988	4.022	0.868
1988	6.119	1.067
1988	3.362	0.559
1988	7.203	1.318
1988	3.874	0.58
1988	7.259	1.138
1988	2.13	0.414
1988	7.528	1.331
1988	9.578	1.662
1988	2.015	0.351
1989	9.518	2.125
1989	2.068	0.565
1989	9.992	2.221
1989	8.515	1.905
1989	4.389	0.943
1989	5.015	1.051
1989	3.811	0.819
1989	4.939	1.015
1989	4.539	1.096
1989	7.806	1.654
1989	4.583	0.836
1989	6.345	1.602
1989	8.227	1.877
1989	3.129	0.698
1989	2.691	0.246
1989	6.015	1.146
1989	5.702	1.221
1989	5.15	0.92
1989	10.579	2.15
1989	3.341	0.57
1989	4.4	0.917
1989	6.682	1.157
1989	3.487	0.678
1989	7.557	1.637
1989	3.929	0.515
1989	7.636	1.721
1989	2.169	0.433
1989	7.862	1.461
1989	9.997	2.166
1989	2.259	0.447
