    14.88          1          0          0  
    16.88          3          1          0  
    13.88          0          0          0  
    16.88          4          1          0  
    14.88          1          0          0  
    16.88          3          1          0  
    16.99          1          0          0  
    16.99          3          1          0  
    13.88          0          0          0  
    15.88          4          1          0  
    16.99          0          0          0  
    16.99          4          1          0  
    14.99          0          0          0  
    16.99          3          1          0  
    13.88          0          0          0  
    15.88          6          1          0  
    13.88          0          0          0  
    16.88          2          1          0  
    14.88          0          0          0  
    16.88          2          1          0  
    16.99          2          0          0  
    16.99          4          1          0  
    16.88          0          0          0  
    16.88          3          1          0  
    14.99          0          0          0  
    16.99          3          1          0  
    13.88          1          0          0  
    16.88          3          1          0  
    14.88          1          0          0  
    16.88          3          1          0  
    13.88          0          0          0  
    15.88          2          1          0  
    15.88          1          0          0  
    16.88          3          1          0  
    13.99          1          0          0  
    16.99          3          1          0  
    15.99          1          0          0  
    16.99          2          1          0  
    14.88          1          0          0  
    15.88          2          1          0  
    14.99          0          0          0  
    16.99          2          1          0  
    13.88          0          0          0  
    16.88          2          1          0  
    16.99          0          0          0  
    16.99          2          1          0  
    13.99          1          0          1  
    13.99          3          1          1  
    13.99          0          0          1  
    13.99          4          1          1  
    13.99          1          0          1  
    13.99          3          1          1  
    13.99          0          0          1  
    12.99          4          1          1  
    13.99          0          0          1  
    21.99          3          1          1  
    13.99          0          0          1  
    12.99          6          1          1  
    13.99          0          0          1  
    13.99          2          1          1  
    13.99          0          0          1  
    13.99          2          1          1  
    13.99          2          0          1  
    21.99          4          1          1  
    12.99          0          0          1  
    13.99          3          1          1  
    13.99          1          0          1  
    13.99          3          1          1  
    13.99          1          0          1  
    12.99          3          1          1  
    13.99          0          0          1  
    13.99          2          1          1  
    13.99          1          0          1  
    13.99          3          1          1  
    13.99          1          0          1  
    13.99          2          1          1  
    13.99          1          0          1  
    12.99          2          1          1  
    12.99          0          0          1  
    11.99          2          1          1  
    13.99          0          0          1  
    13.99          2          1          1  
    12.99          1          0          1  
    12.99          3          1          1  
    12.99          0          0          1  
    12.99          4          1          1  
    12.99          1          0          1  
    12.99          3          1          1  
    12.99          0          0          1  
    12.99          4          1          1  
    12.99          0          0          1  
    11.49          3          1          1  
    12.99          0          0          1  
    12.99          6          1          1  
    12.99          0          0          1  
    12.99          2          1          1  
    12.99          0          0          1  
    12.99          2          1          1  
    12.99          2          0          1  
    12.99          4          1          1  
    12.99          0          0          1  
    12.99          3          1          1  
    11.88          1          0          1  
    12.99          3          1          1  
    12.99          1          0          1  
    12.99          3          1          1  
    12.99          0          0          1  
    12.99          2          1          1  
    14.99          1          0          1  
    12.99          3          1          1  
    12.58          1          0          1  
    12.99          2          1          1  
    12.99          1          0          1  
    12.99          2          1          1  
    12.99          0          0          1  
    11.49          2          1          1  
    12.99          0          0          1  
    12.99          2          1          1  
