     1990          1       9.81       1551         45  
     1990          2       9.97       1437         50  
     1990          3      10.03       1289         58  
     1990          4      10.14       1248         52  
     1990          5      10.22       1212         50  
     1990          6      10.21       1177         50  
     1990          7       10.2       1171         46  
     1990          8       9.99       1115         46  
     1990          9       9.99       1110         38  
     1990         10      10.06       1014         37  
     1990         11      10.11       1145         34  
     1990         12       9.87        969         29  
     1991          1       9.75        798         30  
     1991          2       9.62        965         40  
     1991          3       9.45        921         51  
     1991          4       9.47       1001         50  
     1991          5       9.52        996         47  
     1991          6       9.49       1036         47  
     1991          7       9.49       1063         43  
     1991          8       9.52       1049         46  
     1991          9       9.33       1015         37  
     1991         10        9.1       1079         41  
     1991         11       8.77       1103         39  
     1991         12       8.58       1079         36  
     1992          1       8.35       1176         48  
     1992          2       8.46       1250         55  
     1992          3       8.65       1297         56  
     1992          4       8.71       1099         53  
     1992          5       8.68       1214         52  
     1992          6       8.52       1145         53  
     1992          7       8.28       1139         52  
     1992          8       8.09       1226         56  
     1992          9       7.92       1186         51  
     1992         10       7.92       1244         48  
     1992         11       8.06       1214         42  
     1992         12       8.18       1227         42  
     1993          1       8.08       1210         44  
     1993          2       7.86       1210         50  
     1993          3       7.67       1083         60  
     1993          4       7.56       1258         66  
     1993          5       7.48       1260         58  
     1993          6       7.48       1280         59  
     1993          7       7.34       1254         55  
     1993          8       7.24       1300         57  
     1993          9       7.08       1343         57  
     1993         10       6.93       1392         56  
     1993         11       6.99       1376         53  
     1993         12        7.2       1533         51  
     1994          1       7.19       1272         46  
     1994          2       7.14       1337         58  
     1994          3       7.32       1564         74  
     1994          4       7.68       1465         65  
     1994          5       8.15       1526         65  
     1994          6       8.33       1409         55  
     1994          7       8.36       1439         52  
     1994          8        8.5       1450         59  
     1994          9        8.5       1474         54  
     1994         10       8.64       1450         57  
     1994         11       8.79       1511         45  
     1994         12        8.9       1455         40  
     1995          1       9.06       1407         47  
     1995          2       8.96       1316         47  
     1995          3       8.82       1249         60  
     1995          4        8.6       1267         58  
     1995          5        8.3       1314         63  
     1995          6       7.88       1281         64  
     1995          7       7.76       1461         64  
     1995          8       7.88       1416         63  
     1995          9       7.82       1369         54  
     1995         10       7.71       1369         54  
     1995         11       7.63       1452         46  
     1995         12       7.51       1431         45  
     1996          1       7.28       1467         54  
     1996          2       7.24       1491         68  
     1996          3       7.47       1424         70  
     1996          4       7.82       1516         70  
     1996          5       8.05       1504         69  
     1996          6       8.17       1467         65  
     1996          7       8.27       1472         66  
     1996          8       8.19       1557         73  
     1996          9        8.2       1475         62  
     1996         10       8.12       1392         56  
     1996         11       7.92       1489         54  
     1996         12       7.77       1370         51  
     1997          1       7.87       1355         61  
     1997          2       7.87       1486         69  
     1997          3       7.91       1457         81  
     1997          4        8.1       1492         70  
     1997          5       8.14       1442         71  
     1997          6          8       1494         71  
     1997          7       7.79       1437         69  
     1997          8       7.69       1390         72  
     1997          9       7.69       1546         67  
     1997         10       7.57       1520         62  
     1997         11        7.5       1510         61  
     1997         12       7.41       1566         51  
     1998          1       7.24       1525         64  
     1998          2       7.19       1584         75  
     1998          3       7.19       1567         81  
     1998          4       7.21       1540         82  
     1998          5       7.21       1536         82  
     1998          6        7.2       1641         83  
     1998          7       7.13       1698         75  
     1998          8       7.09       1614         75  
     1998          9       6.97       1582         68  
     1998         10       6.82       1715         69  
     1998         11       6.85       1660         70  
     1998         12       6.88       1792         61  
     1999          1       6.89       1748         67  
