7500	7.2	200000	0.68	60
6.4	49.2	1000	3.7	60
4.8	787.2	45	30	60
2.1	1536	162	26	60
11.5	56	2100	4.5	60
20	160	4960	3.3	60
6	400	924	21.3	60
6000	32	34000	0.7	60
1540	50.6	372	2.7	60
4	960	35	35	60
8900	164	19700	2	61
8.4	264	70	17	61
10	67.2	2250	4.2	61
6.4	192	120	4.5	61
18	160	162	8	61
8500	256	17000	2.1	61
9.25	120	1591	8.5	61
4.5	315	1200	11	61
2	14080	2.7	160	61
6	1179	390	25	61
7	140	8400	6	61
4.8	720	30	26	61
2	84	50	5	62
10	67.2	2250	5	62
8	72	100	2	62
25600	128	51200	1	62
1.05	1180.8	3.8	70	62
6	480	97	6.8	62
1.1	966	14	35	62
8	96	248	2.19	62
8	96	32	3	62
1.1	480	85	20	62
1.8	2340	12	45	62
2	84	30	3.5	63
3	576	30	16.2	63
3	192	30	6	63
1.5	6240	4.3	52	63
6	24	150	1.8	63
12	40	1300	1.8	63
36	160	198	5.5	63
6	112	1100	6	63
2.4	1440	60	18.5	63
4	1152	26	14	63
1.25	1152	10	26	63
3	384	300	7	63
1.5	1536	4.3	46	63
8	20	2510	1.5	63
4.5	240	42	7.2	63
0.6	480	10	12	64
0.7	1152	22	12	64
0.5	3840	1	75	64
4.3	576	12	12	64
1.75	144	6	3.3	64
36	160	198	2.9	64
6	200	30	10.9	64
5.8	768	390	6.6	64
5.1	768	362	8.5	64
2.7	768	250	10.5	64
1	5400	5.9	45	64
2	288	600	5	64
6.5	1536	320	14	64
2	1536	12	30	64
1.5	960	26	12	64
3	96	9	3.5	64
1.8	192	8	4.5	64
1.8	288	7	7	64
1.9	144	10	3	65
1.9	144	32	2.5	65
0.8	192	6.45	6.8	65
1	432	13	7.35	65
1.6	48	15	1	65
2	5400	6	41	65
3.6	16	315	1.8	65
1.5	262.4	313	7.2	65
1	1048.8	85	14.5	65
1	2096.8	29	28	65
0.5	4194.4	3	46	65
3600	128	25700	0.85	65
22.5	38.4	12500	1	65
2	192	200	2.6	65
1.5	2048	197	6	65
2	96	3	3.2	65
