0	1	12	3900
44	7	10	4020
5	30	12	4290
6.2	7	8	4380
7.5	6	8	4380
0	7	12	4380
0	10	12	4380
4.5	6	12	4380
75	2	15	4440
52	3	8	4500
8	19	12	4500
52	3	12	4620
70	20	8	4800
6	23	12	4800
11	12	12	4800
11	17	12	4800
63	22	12	4800
144	24	12	4800
163	12	12	4800
228	26	12	4800
381	1	12	4800
214	15	16	4800
318	25	8	4980
96	33	8	5100
36	15	12	5100
59	14	12	5100
115	1	15	5100
165	4	15	5100
123	12	16	5100
18	12	12	5160
102	29	8	5220
127	29	12	5220
90	11	8	5280
190	1	8	5280
107	11	12	5280
173	34	8	5400
228	33	8	5400
26	11	12	5400
26	33	12	5400
38	22	12	5400
82	29	12	5400
169	27	12	5400
244	1	12	5400
24	13	15	5400
49	27	15	5400
51	21	15	5400
122	33	15	5400
97	17	12	5520
196	32	12	5520
132.5	30	12	5580
55	9	12	5640
90	23	12	5700
116.5	25	12	5700
51	17	15	5700
61	11	15	5700
241	34	15	5700
121	30	12	6000
78.5	13	15	6000
208.5	21	12	6120
86.5	33	12	6300
231	15	15	6300
11.5	22	12	4620
14	3	15	5040
180	15	12	5100
315	2	12	5100
29	14	12	5220
7	21	12	5400
38	11	12	5400
113	3	12	5400
17.5	8	15	5400
359	11	15	5400
36	5	15	5700
320	21	8	6000
24	2	12	6000
32	17	12	6000
49	8	12	6000
56	33	12	6000
252	11	12	6000
272	19	12	6000
25	13	15	6000
35.5	32	15	6000
56	12	15	6000
64	33	15	6000
108	16	15	6000
45.5	3	16	6000
72	17	15	6300
64	16	15	6600
84	33	15	6600
215.5	16	15	6600
41.5	7	15	6840
175	10	12	6900
132	24	15	6900
54.5	33	16	8100
