1950	12.9	181.9
1951	11.9	245
1952	10.7	250.2
1953	11.3	265.9
1954	11.2	248.5
1955	15.1	278.4
1956	16.2	307.3
1957	15.4	320
1958	12.7	305.3
1959	16.3	338
1960	15.2	345.7
1961	15.3	356.4
1962	17.7	389.4
1963	19.5	412.7
1964	23.2	443.1
1965	27.5	492.2
1966	30.9	554.2
1967	29	575.4
1968	32.1	631.9
1969	33.2	694.6
1970	28.6	708.8
1971	31	751.1
1972	36.5	849.5
1973	48.1	1017.2
1974	58.7	1060.6
1975	49.1	1065.2
1976	64.5	1203.2
1977	70.4	1328.1
1978	81.1	1496.4
1979	98.7	1741.8
1980	92.6	1912.8
1981	101.3	2144.7
1982	70.9	2039.4
1983	85.8	2114.3
1984	107.6	2335
1985	87.6	2331.4
