    121.3        355      25.68      20.01      45.74  
    124.3        380       26.3      18.74         53  
    131.6        426      30.19      22.45       57.9  
    118.9        353      33.13      27.11      56.56  
    119.7        354      31.61      20.69      55.25  
    114.6        361      30.15      18.89      55.69  
    116.5        380      32.23      19.16      50.62  
    119.1        391       31.8       20.1      52.36  
    128.9        380      30.76       20.6      53.96  
    125.1        368      32.08      19.46      51.78  
    117.6        385      33.34       17.9      51.01  
     98.4        403      36.66      17.86      54.64  
     85.4        406      39.71      19.14      53.04  
     93.3        411      37.79      18.03      49.47  
    100.4        427      38.38      18.82       53.7  
    104.9        459       39.1      19.04      55.22  
     98.8        469      39.84      20.63      56.03  
