     2.03         13         21          2          1          0          1          0          0          0          0          1          0          0          0  
     2.07         12         25          7          0          0          1          0          0          0          1          0          0          0          1  
     2.12         12         53         35          0          0          1          0          0          0          0          1          0          1          1  
     2.54         16         42         20          1          0          1          0          0          0          0          1          0          1          1  
     2.68         12         42         24          1          0          1          1          0          0          0          1          0          0          1  
     3.09         13         23          4          0          0          1          0          0          0          0          1          0          0          1  
     3.16         13         18          1          0          0          1          0          0          0          0          0          1          0          0  
     3.17         12         40         22          1          0          1          1          0          0          0          1          0          0          1  
      3.2         12         41         23          0          0          1          1          0          0          0          1          0          1          1  
     3.27         12         22          4          1          0          1          0          0          0          0          0          1          1          1  
     3.32         12         29         11          1          0          1          1          0          0          0          0          1          1          1  
     3.32         13         22          3          1          0          1          0          0          0          1          0          0          1          1  
     3.34         18         39         15          0          0          1          0          0          0          1          0          0          0          1  
     3.39         13         26          7          1          0          1          0          0          1          0          0          0          0          1  
     3.39         12         33         15          1          0          1          1          0          0          0          0          1          0          0  
     3.39         12         50         32          1          0          1          1          0          0          0          1          0          1          0  
     3.42         12         49         31          0          0          1          1          0          0          0          1          0          1          1  
     3.47         13         47         28          1          0          1          1          0          0          0          0          1          0          1  
     3.49         11         22          5          1          0          1          0          0          0          0          1          0          1          1  
      3.5         12         56         38          1          1          0          0          0          0          1          0          0          0          1  
      3.5          9         18          3          0          0          1          0          0          0          0          1          0          1          1  
      3.5         11         24          7          0          0          1          0          0          0          0          0          1          1          1  
      3.5         12         23          5          1          0          1          0          0          1          0          0          0          0          1  
      3.5         12         20          2          1          0          1          0          0          0          0          0          1          1          1  
      3.5         12         36         18          1          0          1          1          0          0          1          0          0          0          1  
     3.53         11         59         42          1          0          1          1          0          1          0          0          0          0          1  
     3.54         13         23          4          1          0          1          0          0          0          1          0          0          0          1  
     3.57         12         18          0          1          0          1          0          0          0          1          0          0          1          1  
     3.59          9         44         29          0          0          1          0          0          0          0          1          0          1          1  
     3.68          6         31         19          0          0          1          0          0          0          0          0          1          1          1  
     3.68          9         54         39          1          0          1          1          1          0          0          0          1          1          1  
     3.68         13         19          0          1          0          1          0          0          1          0          0          0          0          1  
     3.68         11         19          2          1          0          1          0          0          0          0          1          0          1          1  
     3.68         12         23          5          0          1          0          0          0          0          0          1          0          1          0  
     3.68          6         19          7          0          0          1          0          0          0          0          0          1          1          1  
     3.68          9         38         23          1          0          1          1          0          0          0          0          1          1          1  
     3.68          9         43         28          0          0          1          1          0          0          0          1          0          1          0  
     3.68         11         26          9          1          0          1          0          0          0          0          0          1          1          0  
     3.68         12         23          5          0          0          1          0          0          1          0          0          0          0          1  
     3.68         10         18          2          1          0          1          0          0          1          0          0          0          0          1  
     3.68         12         23          5          0          0          1          0          0          1          0          0          0          1          1  
     3.68         12         25          7          0          0          1          0          0          0          0          1          0          1          0  
     3.68         13         25          6          0          1          0          0          0          0          0          1          0          1          1  
     3.68         12         19          1          1          1          0          0          0          1          0          0          0          1          1  
     3.68          4         60         50          0          0          1          1          1          0          0          0          1          1          1  
     3.68          9         50         35          1          0          1          0          0          0          0          0          1          1          1  
     3.68         12         37         19          1          0          1          1          0          0          0          1          0          0          1  
     3.68         12         58         40          1          0          1          0          0          0          1          0          0          0          1  
     3.68         12         43         25          0          1          0          0          0          0          1          0          0          1          1  
     3.68         13         23          4          1          0          1          0          0          1          0          0          0          1          1  
     3.71         12         33         15          1          1          0          1          0          0          0          1          0          1          0  
     3.76         13         37         18          1          0          1          1          1          0          1          0          0          0          0  
     3.79          6         49         37          1          0          1          1          1          0          0          0          1          1          1  
     3.79         12         18          0          1          0          1          1          1          0          0          0          1          1          1  
     3.79         16         24          2          1          0          1          0          0          0          0          1          0          1          1  
     3.81         13         30         11          1          0          1          1          0          0          0          0          1          1          1  
     3.81         12         41         23          0          1          0          0          0          0          0          1          0          1          1  
     3.82         12         51         33          1          0          1          1          0          0          0          1          0          0          1  
     3.86         13         22          3          0          0          1          0          0          0          1          0          0          0          0  
     3.87         13         60         41          0          0          1          1          0          1          0          0          0          1          1  
     3.87         12         25          7          1          0          1          0          0          1          0          0          0          1          1  
     3.87         12         53         35          1          0          1          1          0          0          0          1          0          1          0  
     3.87         16         57         35          1          0          1          0          0          0          0          0          1          1          1  
     3.89         10         50         34          1          0          1          0          0          0          1          0          0          1          1  
     3.93         12         20          2          0          0          1          0          0          0          0          1          0          0          0  
     3.98         12         40         22          1          0          1          1          0          0          1          0          0          1          0  
     3.99         18         41         17          0          0          1          0          0          0          1          0          0          1          1  
     4.03         10         61         45          1          1          0          0          0          0          0          1          0          1          1  
     4.03         13         43         24          1          1          0          0          0          0          0          1          0          1          0  
     4.04         13         26          7          1          0          1          0          0          0          0          0          1          1          0  
     4.04         12         21          3          1          0          1          0          0          0          1          0          0          1          1  
     4.04         11         18          1          1          1          0          0          0          1          0          0          0          1          1  
